Date,Value,Service
2020-01-01,26.50,Disney +
2020-04-01,33.50,Disney +
2020-07-01,57.50,Disney +
2020-10-01,73.70,Disney +
2021-01-01,94.90,Disney +
2021-04-01,103.60,Disney +
2021-07-01,116,Disney +
2021-10-01,118.10,Disney +
2022-01-01,129.80,Disney +
2022-04-01,137.70,Disney +
2022-07-01,152.10,Disney +
2022-10-01,164.20,Disney +
2023-01-01,161.80,Disney +
2023-04-01,157.80,Disney +
2023-07-01,146.10,Disney +
2023-10-01,150.20,Disney +
2024-01-01,149.60,Disney +
2024-04-01,153.60,Disney +
2024-07-01,153.80,Disney +
2013-01-01,34.24,Netflix
2013-04-01,35.64,Netflix
2013-07-01,38.01,Netflix
2013-10-01,41.43,Netflix
2014-01-01,46.13,Netflix
2014-04-01,47.99,Netflix
2014-07-01,50.65,Netflix
2014-10-01,54.48,Netflix
2015-01-01,59.62,Netflix
2015-04-01,62.08,Netflix
2015-07-01,66.02,Netflix
2015-10-01,70.84,Netflix
2016-01-01,77.71,Netflix
2016-04-01,79.90,Netflix
2016-07-01,83.28,Netflix
2016-10-01,89.09,Netflix
2017-01-01,94.36,Netflix
2017-04-01,99.04,Netflix
2017-07-01,104.02,Netflix
2017-10-01,110.64,Netflix
2018-01-01,118.90,Netflix
2018-04-01,124.35,Netflix
2018-07-01,130.42,Netflix
2018-10-01,139.26,Netflix
2019-01-01,148.86,Netflix
2019-04-01,151.56,Netflix
2019-07-01,158.33,Netflix
2019-10-01,167.09,Netflix
2020-01-01,182.86,Netflix
2020-04-01,192.95,Netflix
2020-07-01,195.15,Netflix
2020-10-01,203.66,Netflix
2021-01-01,207.64,Netflix
2021-04-01,209.18,Netflix
2021-07-01,213.56,Netflix
2021-10-01,221.84,Netflix
2022-01-01,221.64,Netflix
2022-04-01,220.67,Netflix
2022-07-01,223.09,Netflix
2022-10-01,230.75,Netflix
2023-01-01,232.50,Netflix
2023-04-01,238.39,Netflix
2023-07-01,247.15,Netflix
2023-10-01,260.28,Netflix
2024-01-01,269.60,Netflix
2024-04-01,277.65,Netflix
2024-07-01,282.72,Netflix
2021-01-01,16.50,Paramount +
2021-04-01,21.40,Paramount +
2021-07-01,25.50,Paramount +
2021-10-01,32.80,Paramount +
2022-01-01,39.60,Paramount +
2022-04-01,43.30,Paramount +
2022-07-01,46,Paramount +
2022-10-01,55.90,Paramount +
2023-01-01,60,Paramount +
2023-04-01,60.70,Paramount +
2023-07-01,63.40,Paramount +
2023-10-01,67.50,Paramount +
2024-01-01,71.20,Paramount +
2024-04-01,68.40,Paramount +
2019-01-01,22.80,Hulu
2019-04-01,25.20,Hulu
2019-07-01,27.90,Hulu
2019-10-01,28.50,Hulu
2020-01-01,30.40,Hulu
2020-04-01,32.10,Hulu
2020-07-01,35.50,Hulu
2020-10-01,36.60,Hulu
2021-01-01,39.40,Hulu
2021-04-01,41.60,Hulu
2021-07-01,42.80,Hulu
2021-10-01,43.80,Hulu
2022-01-01,45.30,Hulu
2022-04-01,45.60,Hulu
2022-07-01,46.20,Hulu
2022-10-01,47.20,Hulu
2023-01-01,48.00,Hulu
2023-04-01,48.20,Hulu
2023-07-01,48.30,Hulu
2023-10-01,48.50,Hulu
2024-01-01,49.70,Hulu
2024-04-01,50.20,Hulu
2024-07-01,51.10,Hulu
